Article Title,Article Link,Citations,Summary,Post Time
Characteristics of cause of death and triggers for crisis in patients with myasthenia gravis,https://onlinelibrary.wiley.com/doi/abs/10.1111/ncn3.12590,"T Sugimoto, K Ochi, T Yamawaki, H Naito… - Neurology and Clinical … - Wiley Online Library","  … Eight MG patients were confirmed to die during the observation period, and
the causes of death were 4 cases of cancer (breast cancer, pancreatic cancer, stomach cancer, …",3 days ago -
… receptor binding SET domain-containing protein 1 (NSD1) inhibits proliferation and facilitates apoptosis in paclitaxel-resistant breast cancer cells via inactivating the …,https://pubmed.ncbi.nlm.nih.gov/35200072/,"Y Chen, X Li, J Xu, H Xiao, C Tang… - …, 2022 - pubmed.ncbi.nlm.nih.gov","  The burden of breast cancer (BC) has exacerbated over decades. Paclitaxel
resistance is responsible for increasing BC treatment burden. Nuclear receptor binding SET …",3 days ago -
 Tumour-infiltrating lymphocytes add prognostic information for patients with low-risk DCIS: findings from the SweDCIS randomised radiotherapy trial,https://www.sciencedirect.com/science/article/pii/S0959804922000375,"A Schiza, V Thurfjell, AS Tullberg, H Olofsson… - European Journal of …, 2022 - Elsevier","  … Such response-predictive effect of TILs was demonstrated for neoadjuvant
chemotherapy in invasive breast cancer [37]. For stage I/II breast cancer, the effect of adjuvant …",3 days ago -
 Access to preventive sexual and reproductive health care for women from refugee-like backgrounds: a systematic review,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-022-12576-4,"N Davidson, K Hammarberg… - BMC Public …, 2022 - bmcpublichealth.biomedcentral.com","  … Most related to contraception and cervical or breast cancer screening. Three
main themes and ten subthemes relating to SRH care access were identified: interpersonal …",3 days ago -
"Survival Life Penderita Kanker Payudara Berdasarkan Usia, Pendidikan Dan Status Ekonomi Di RSUD Dr. H. Abdul Moeloek Bandar Lampung",http://www.ejurnalmalahayati.ac.id/index.php/MAHESA/article/view/4067,"SAQ Kusmayadi, M Wulandari… - … Health Student Journal, 2022 - ejurnalmalahayati.ac.id","  … In Indonesia, breast cancer is the number one killer cancer in women with a
death … of breast cancer sufferers. This study aims to determine the survival life of breast cancer …",3 days ago -
Overexpression of IGF-1 During Early Development Expands the Number of Mammary Stem Cells and Primes them for Transformation,https://academic.oup.com/stmcls/advance-article-abstract/doi/10.1093/stmcls/sxab018/6537641,"L Luo, A Santos, K Konganti, A Hillhouse… - Stem Cells, 2022 - academic.oup.com","  … during early development in promoting breast cancer risk. These results also
pinpoint susceptible cell populations to target for breast cancer prevention, suggesting further …",3 days ago -
Indocyanine Green Fluorescence–Guided Lumpectomy of Nonpalpable Breast Cancer Versus Ultrasound-Guided Excision,https://journals.sagepub.com/doi/abs/10.1177/15533506211039962,"W Guo, W Ji, T Zhang, Z Xing, F Xing - Surgical Innovation, 2022 - journals.sagepub.com","  … delivers the preoperative diagnosis for breast cancer of most nonpalpable
lesion, … Preferred treatment for early-stage breast cancer is breast-conserving surgery (BCS). …",3 days ago -
 … -mediated multi-component self-assembly of “all-in-one” nanospike theranostic nano-platform for MRI-guided synergistic therapy against breast cancer,https://www.sciencedirect.com/science/article/pii/S221138352200082X,"X Chen, X Fan, Y Zhang, Y Wei, H Zheng, D Bao… - … Pharmaceutica Sinica B, 2022 - Elsevier","  … Cancer is the leading cause of disease-related death around the world, among
which breast cancer has become the most common malignancy since 2020 1 . The efficient …",3 days ago -
… background parenchymal enhancement levels on the diagnosis of contrast-enhanced digital mammography in evaluations of breast cancer: comparison with contrast …,https://link.springer.com/article/10.1007/s12282-022-01345-1,"S Yuen, S Monzawa, A Gose, S Yanai, Y Yata… - Breast Cancer, 2022 - Springer","  … Patients with breast cancer prior to primary therapy at … Each patient had
breast cancer diagnosed at our … MRI to evaluate the extent of breast cancer, and (4) providing …",4 days ago -
Is Real-Time Microscopy on the Horizon? A Brief Review of the Potential Future Directions in Clinical Breast Tumor Microscopy Implementation,https://link.springer.com/article/10.1007/s00428-022-03300-z,"DR Lopez, D Sgroi, S Krishnamourthy, G Tearney - Virchows Archiv, 2022 - Springer","  … These microscopic technologies have to varying degrees the potential for
transforming breast cancer care, but in order for any of these to be integrated into clinical practice …",4 days ago -
