Article Name,Citations,summary,Link to Article
Safety‐net hospitals versus non‐safety centers and clinical outcomes after trans‐catheter aortic valve replacement,"MA Sheikh, SV Deo, H Riaz, S Raza… - Catheterization and …, 2021 - Wiley Online Library","… TAVR for severe aortic stenosis, we queried a national database to compare post-procedural 
outcome for TAVR … mortality, stoke and acute kidney injury (AKI) for TAVR performed at …",https://onlinelibrary.wiley.com/doi/abs/10.1002/ccd.29123
Transcarotid versus transapical and transaortic access for transcatheter aortic valve replacement,"KB Allen, AK Chhatriwalla, D Cohen, J Saxon… - The Annals of Thoracic …, 2019 - Elsevier","… The technique for transcarotid TAVR is illustrated in Video 1. We perform transcarotid TAVR 
with … Although the stoke risk after transcarotid TAVR was only 2.4% in our series, the 30-day …",https://www.sciencedirect.com/science/article/pii/S0003497519303443
Does the United States Have Enough TAVR Centers?,"PJ PEARSON - Card Interv Today, 2017 - v2.citoday.com","… insolubility, stoke, and … (TAVR) to many more United States sites. Ironically, this momentum 
is built upon the complex system of checks and balances that were set in place when TAVR …",http://v2.citoday.com/pdfs/cit0517_VU_PCPDebate.pdf
Non-cardiovascular comorbidities as evaluated by Elixhauser comorbidity score in individuals undergoing TAVR,"V Nagaraja, MG Cohen, W Suh, M Alasnag… - Structural …, 2019 - Taylor & Francis","… TAVR outcomes have previously been reported using the Charlson score, for example TAVR 
… The French TAVR database 30 reported a decline of TAVR patients with high Charlson …",https://www.tandfonline.com/doi/abs/10.1080/24748706.2019.1630787
Outcomes of non‐left bundle branch block conduction abnormalities after transcatheter aortic valve replacement,"D Wang, H Li, H Ye, L Jiang - Pacing and Clinical …, 2021 - Wiley Online Library","… Holter on post-TAVR day 4 showed first to third degree AVB. It is worth noting that the case 
… -Stokes attack at the night of the 5 days post-TAVR. In case 2, ECG immediately after TAVR …",https://onlinelibrary.wiley.com/doi/abs/10.1111/pace.14353
Fundamentals of cardiology for the non-cardiologist,"B Xu, MB Stokes, I Meredith - Handbook of psychocardiology, 2016 - research.monash.edu","Awareness of the fundamentals of cardiac anatomy, physiology and various disease states is 
essential to clinicians managing a patient with cardiac pathology. This chapter summarizes …",https://research.monash.edu/en/publications/fundamentals-of-cardiology-for-the-non-cardiologist
Annular rupture successfully salvaged by valve-in-valve implantation,"V Nagaraja, K Ratib, J Nolan - Structural Heart, 2019 - Taylor & Francis","… Transcatheter aortic valve replacement (TAVR) is an accepted treatment for patients with … 
, TAVR is not without its own risks of life-threatening complications. Annular rupture post TAVR …",https://www.tandfonline.com/doi/full/10.1080/24748706.2019.1570408
Commentary: The laws of robotics,"MCW von Ballmoos, MJ Reardon - The Journal of Thoracic and …, 2021 - jtcvs.org","… The advantage of TAVR in the low-risk randomized trials occurs mainly as a safety signal … 
current time for TAVR. Our program runs both active SAVR and TAVR programs and believe in …",https://www.jtcvs.org/article/S0022-5223(20)33003-8/abstract
Propensity-matched comparisons of clinical outcomes after transapical or transfemoral transcatheter aortic valve replacement: a placement of aortic transcatheter …,"EH Blackstone, RM Suri, J Rajeswaran, V Babaliaros… - Circulation, 2015 - Am Heart Assoc","… Using only the propensity score, we matched TA-TAVR cases one-to-one to TF-TAVR cases 
… In the randomized TA-TAVR study group, however, early risk of stoke was substantially …",https://www.ahajournals.org/doi/abs/10.1161/CIRCULATIONAHA.114.012525
Preprocedural P2Y12 inhibition and decrease in platelet count following transcatheter aortic valve replacement,"H Ibrahim, E Vapheas, B Shah… - Catheterization and …, 2019 - Wiley Online Library","… prior to TAVR is associated with a lower rate of platelet count decrease post-TAVR. … In-hospital 
and early stoke rate after TAVR ranges between 2 and 4% with the majority occurring …",https://onlinelibrary.wiley.com/doi/abs/10.1002/ccd.28320
Dialysis following transcatheter aortic valve replacement: risk factors and outcomes: an analysis from the UK TAVI (Transcatheter Aortic Valve Implantation) Registry,"CJ Ferro, JP Law, SN Doshi, M de Belder… - JACC: Cardiovascular …, 2017 - jacc.org","… to define the incidence of dialysis requirement after TAVR in the United Kingdom, second 
to … after TAVR, and third to compare outcomes in patients requiring dialysis after TAVR with …",https://www.jacc.org/doi/abs/10.1016/j.jcin.2017.05.020
Outcomes of direct transcatheter aortic valve replacement without balloon aortic valvuloplasty using a new generation valve,"SH Aalaei-Andabili, TM Beaver, AA Bavry… - Cardiovascular …, 2019 - Elsevier","… post-TAVR stroke among 27 patients who underwent TAVR with BAV using S3 valve [21]. 
We also did not find any stoke events among our 34 patients who underwent TAVR following …",https://www.sciencedirect.com/science/article/pii/S1553838919300521
